ts,sku,ChannelSlug,BrandSlug,PremiseType,TermsOfServiceTyp,ProductName,ProductSlug,StateSlug,Commodity,UtilitySlug,first_name,last_name,ServiceAddress1,zip_code,city,account_no,email,emailmarketing,confirm_number,order_status,allow_email_marketing,sap_number
ts_1,g00164a75659d6e5,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,wmeco,Susan,wmeco,938801 Aaron Vasquez St.,'01084,EAST OTIS,''292613258,Susan@nrg.com,no_email_mark,E1-9KL-LE9,completed,false,7668804843
ts_2,g00164a75659d6e5,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,ma,electric,wmeco,Gina,wmeco,73161 Kristina Ray DVM St.,'01260,SHUTESBURY,''799592845,Gina@nrg.com,emailmarketing,E1-Z6R-RVA,completed,false,7668804844
ts_3,g03408ca6381de99,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,md,electric,apmd,Bobby,apmd,563098 Mark Nguyen St.,'21740,HAGERSTOWN,''08451259247045737234,Bobby@nrg.com,no_email_mark,E1-MAP-PRL,completed,false,7668804845
ts_4,g03408ca6381de99,web,green_mountain_energy,residential,fixed,SolarSPARC 10%12,solarsparc_10_smart_12,md,electric,apmd,Robert,apmd,883927 Michelle Bailey St.,'21713,BOONSBORO,''08710689478448513315,aleksandr.malygin@nrg.com,emailmarketing,E1-VZX-XND,completed,false,7668804850
ts_5,g04806563c0ff681,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,md,electric,pepco,Amy,pepco,156828 Alyssa Rodriguez St.,'21208,PIKESVILLE,''05448369880374089965034,no@nrg.com,no_email_mark,E1-XER-RMB,completed,false,7668804853
ts_6,g04806563c0ff681,web,green_mountain_energy,residential,variable,Green Mountain Family,green_mountain_family,md,electric,pepco,Larry,pepco,118302 Holly Taylor St.,'02906,OCEAN CITY,''05446466417854150369333,aleksandr.malygin@nrg.com,emailmarketing,E1-EBQ-QZW,completed,false,7668804854
ts_7,g05104d4689e5a7b,web,green_mountain_energy,residential,fixed,Pollution Free Farm to Market Reliable Rate,pollution_free_farm_to_market_reliable_rate,pa,electric,penelec,Jonathan,penelec,846373 Aaron Smith St.,'15747,HOME,''08687201435246007093,no@nrg.com,no_email_mark,E1-KK6-6E9,completed,false,7668804855
ts_8,g05104d4689e5a7b,web,green_mountain_energy,residential,fixed,Pollution Free Farm to Market Reliable Rate,pollution_free_farm_to_market_reliable_rate,pa,electric,penelec,Kelly,penelec,357787 Andrew Rowe St.,'18823,HARFORD,''08530976299551691915,aleksandr.malygin@nrg.com,emailmarketing,E1-PZ9-9QN,completed,false,7668804856
ts_9,g08814fc767b398d,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,md,electric,apmd,Katherine,apmd,39445 Charles Salazar St.,'21740,HAGERSTOWN,''08900630484530620693,no@nrg.com,no_email_mark,E1-A46-6PP,completed,false,7668804858
ts_10,g08814fc767b398d,web,green_mountain_energy,residential,fixed,Pollution Free Reliable Rate,pollution_free_reliable_rate,md,electric,apmd,Stephen,apmd,121320 Amanda Adams St.,'21773,MYERSVILLE,''08394938944755163276,aleksandr.malygin@nrg.com,emailmarketing,E1-765-5BL,completed,false,7668804859
